Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1199,clerk,Le cuisinier a rencontré le greffier et lui a demandé de l'aide pour la paperasse.,,
2386,librarian,Le vendeur a vendu des livres au bibliothécaire et lui a donné un rabais.,,
586,physician,La greffière a rendu visite au médecin parce qu'elle est une experte sur la maladie.,,
2266,janitor,Le concierge demande à la réceptionniste où aller parce que c'est son premier jour ici.,,
2999,accountant,Le mécanicien s'est mis en colère contre le comptable et s'est plaint au patron à son sujet.,,
1135,auditor,"Le vendeur a fourni un devis au vérificateur, puis lui a montré la marchandise.",,
3219,someone,Le travailleur a dit à quelqu'un qu'il devrait éviter la partie fermée de la rue.,,
2068,salesperson,Le vendeur a demandé à la femme de ménage que s'il pouvait rencontrer le propriétaire de la maison.,,
1340,cook,La réceptionniste a dit au cuisinier la date de la cérémonie et lui a rappelé de porter des costumes.,,
1758,physician,Le médecin a examiné l'enseignant et il a été incapable de trouver la source de la maladie.,,
2347,editor,Le menuisier a demandé au rédacteur en chef si elle allait prendre la table demain.,,
16,mover,Le déménageur a surpassé le coiffeur parce qu'elle était en forme.,,
2864,lawyer,Le nettoyeur a posé quelques questions à l'avocat et a ensuite exprimé son admiration pour lui.,,
2700,writer,Le superviseur a aidé l'écrivain et lui a demandé de lui rendre la faveur.,,
1770,secretary,La concierge est tombée amoureuse de la secrétaire à cause de ses belles mains.,,
1267,assistant,Le charpentier enseigna le métier à l'assistant et ne le laissa pas se distraire.,,
1151,cleaner,Le travailleur de la construction a remercié le nettoyeur et l'a récompensé pour les services de nettoyage supérieurs.,,
1147,editor,Le développeur a rencontré l'éditeur et lui a demandé des éclaircissements.,,
1396,supervisor,Le boulanger a parlé au superviseur et a beaucoup appris d'elle.,,
3612,paramedic,L'ambulancier a effectué le RCP sur le passager même s'il savait qu'il était trop tard.,,
2265,nurse,Le shérif a demandé à l'infirmière d'aller ensemble parce qu'elle peut aider à prendre soin des victimes.,,
3165,cleaner,Le chef attendait le ménage et lui demanda un meilleur service.,,
3657,machinist,"Le machiniste a donné à quelqu'un une démonstration de découpe laser, mais a dit qu'il pouvait le faire fonctionner.",,
821,manager,Le coiffeur a parlé avec le manager et lui a demandé de l'aide.,,
2853,cleaner,Le shérif a agité le nettoyeur et a marché vers elle.,,
2661,farmer,La réceptionniste a fait du bon travail pour le fermier et a gagné sa confiance.,,
280,salesperson,Le vendeur a dit au boulanger de cesser de vendre du pain parce qu'elle a trouvé de la moisissure dans la cuisine.,,
1683,designer,Le concierge a nettoyé la pièce pour le concepteur et elle est reconnaissante.,,
1589,housekeeper,Le déménageur a dit merci à la gouvernante parce qu'elle a nettoyé le camion.,,
3312,undergraduate,Le premier cycle a présenté à l'administrateur une pétition qu'il avait organisée.,,
1936,supervisor,Le superviseur s'inquiétait de la visite du vérificateur parce qu'il avait perdu la trace des dépenses.,,
1578,driver,L'assistante a payé le chauffeur et lui a demandé de prêter plus d'attention.,,
3609,veterinarian,Le vétérinaire a informé quelqu'un qu'il pouvait admettre Mittens pour une visite d'urgence.,,
2280,tailor,La tailleur est la bonne amie de l'avocate parce qu'elle peut faire des costumes bien ajustés.,,
3765,someone,Quelqu'un a postulé pour travailler avec le scientifique parce qu'il avait besoin de plus d'expérience dans le laboratoire.,,
3084,nurse,Le déménageur a discuté avec l'infirmière de l'opération et l'a remerciée.,,
647,writer,Le fermier ne voulait pas parler à l'écrivain parce qu'il s'enterrait en écrivant un nouveau roman.,,
2296,counselor,Le conseiller a averti le développeur qu'elle accuserait les gens qui enfreignaient les règles.,,
2681,laborer,Le bibliothécaire commande une bibliothèque à l'ouvrier et il termine rapidement le projet.,,
3742,someone,"Le parajuriste a oublié de déposer des documents pour quelqu'un, alors elle en a eu marre et est allée dans un autre cabinet d'avocats.",,
3562,practitioner,La praticienne a fait un appel à domicile pour quelqu'un parce qu'elle ressentait un sentiment d'obligation.,,
415,accountant,Le cuisinier a dû embaucher le comptable afin qu'il puisse fournir de l'aide pour les questions financières.,,
3514,someone,La pathologiste a obtenu des échantillons de tissus de quelqu'un pour déterminer la cause de sa mort.,,
3757,scientist,La étudiante a postulé pour travailler avec la scientifique parce qu'elle avait besoin d'une assistante de laboratoire.,,
813,farmer,La femme de ménage a donné une pomme au fermier et lui a souhaité une bonne journée.,,
3354,librarian,Le bibliothécaire a aidé l'enfant à choisir un livre parce qu'il aimait encourager la lecture.,,
626,laborer,La travailleuse a parlé à la femme de ménage et s'est plainte que son salaire était trop bas.,,
3340,someone,Quelqu'un a demandé à la réceptionniste si elle avait besoin de se connecter.,,
3870,firefighter,Le pompier a dû sauver l'enfant du bâtiment en feu parce qu'il ne pouvait pas rester là et ne rien faire.,,
109,librarian,Le concierge a nettoyé la chambre du bibliothécaire et il a été reconnaissant.,,
2267,receptionist,Le concierge demande à la réceptionniste où aller parce qu'elle connaît bien ce bâtiment.,,
1337,receptionist,Le conducteur a reconnu la réceptionniste et lui a présenté le patron.,,
3255,counselor,Le conseiller a révélé à quelqu'un qu'il était professionnellement mandaté pour signaler certaines questions.,,
398,chief,Le chef a engagé l'assistante parce qu'elle avait besoin d'aide pour la paperasse.,,
952,mechanic,La femme de ménage a emprunté la clé au mécanicien et l'a embrassée.,,
3074,secretary,Le cuisinier a décidé de virer la secrétaire et lui a dit de ne pas venir ici lundi prochain.,,
1526,housekeeper,L'analyste avait besoin de faire entrer la femme de ménage dans la maison et l'a payé pour le faire.,,
2453,physician,L'infirmière a vu le médecin et lui a demandé de jeter un oeil au patient.,,
1109,tailor,"Le manager a parlé au tailleur, puis lui a demandé de créer un nouveau design.",,
2014,farmer,Le fermier connaît l'éditeur parce qu'il aime le livre.,,
2502,editor,Le superviseur a éclaboussé le rédacteur en chef et lui a crié dessus.,,
1141,baker,L'ouvrier s'est approché du boulanger et lui a posé des questions sur la météo.,,
3542,resident,Le planificateur s'est entretenu avec le résident qui a dit que toute sa communauté ne voulait pas d'aéroport à proximité.,,
790,teacher,Le professeur et le concierge discutaient de ses élèves désordonnés.,,
479,housekeeper,Le superviseur a fait un tour à la gouvernante parce qu'il vit loin.,,
